ID,EVALUATION_RATING,REPORTS_TO,FEEDBACK_COMMENT,SATISFACTION_INDEX
118102,2.5,103700,My bosses  listen to me on our strategy,3.6
118103,2.9,104102,My bosses do not support generating revenue,2.1
118104,4.7,103654,My bosses do not provide guidance about generating revenue,4.2
118105,3,102936,My bosses  communicate about our strategy,4.5
118106,3.3,101643,My bosses  support providing better service,3.9
118107,4,103120,My bosses  listen to me on generating revenue,3.6
118108,4.3,101903,My bosses  communicate about our strategy,2.4
118109,4.9,102176,My peers  communicate about providing better service,3.6
118110,2.6,103805,My bosses do not communicate about our strategy,4.6
118111,2.8,104637,My bosses  provide guidance about our strategy,2.2
118112,4.2,102161,My peers  listen to me on our strategy,2.8
118113,2,100664,My bosses do not support generating revenue,3.9
118114,2.5,103163,My bosses do not listen to me on providing better service,3.4
118115,3.4,100713,My bosses do not support our strategy,3.2
118116,4.7,102389,My peers  listen to me on generating revenue,4.3
118117,2.9,103624,My bosses  listen to me on generating revenue,4.5
118118,2.5,103866,My bosses  listen to me on our vision of the future,2.9
118119,4.7,102299,My peers  listen to me on providing better service,3.9
118120,2.9,103208,My peers  provide guidance about providing better service,2.2
118121,3.8,104962,My peers do not communicate about our vision of the future,2.4
118122,4.7,100208,My bosses do not listen to me on providing better service,2.2
118123,4.9,100123,My peers  provide guidance about our vision of the future,4.5
118124,2.7,101605,My peers  support our vision of the future,4.7
118125,2.3,102710,My peers do not communicate about our vision of the future,2.2
118126,2.9,102012,My peers do not communicate about generating revenue,4.7
118127,4.7,104663,My peers do not support our vision of the future,4
118128,3.8,103741,My peers do not listen to me on our vision of the future,4.5
118129,3.8,104895,My bosses  communicate about providing better service,2
118130,2.3,103538,My bosses  provide guidance about our vision of the future,3
118131,3.1,103653,My peers  provide guidance about generating revenue,4.6
118132,2.7,101932,My peers  support generating revenue,3.4
118133,4.4,102681,My peers do not communicate about our vision of the future,2.1
118134,2.8,101897,My peers  support generating revenue,4.6
118135,4.6,103660,My bosses  communicate about generating revenue,4.5
118136,2.6,100084,My bosses  provide guidance about our vision of the future,3.6
118137,3.6,104265,My bosses  communicate about generating revenue,3.7
118138,2.2,103210,My peers do not communicate about our strategy,3.6
118139,2.6,102359,My bosses do not communicate about our vision of the future,3.2
118140,2.1,104055,My bosses do not provide guidance about generating revenue,2
118141,2,104973,My bosses  listen to me on providing better service,2.7
118142,2.6,102224,My peers  communicate about generating revenue,2.8
118143,2.1,104760,My peers do not listen to me on providing better service,3
118144,2.1,102395,My bosses do not support our strategy,3.9
118145,3.6,104365,My bosses do not communicate about generating revenue,3.5
118146,2.1,102093,My bosses do not communicate about providing better service,2.4
118147,2.6,100002,My peers  listen to me on generating revenue,2.3
118148,3.5,101244,My peers do not provide guidance about generating revenue,4.8
118149,3.5,104023,My peers do not support providing better service,2.7
118150,2.6,103854,My peers do not communicate about our vision of the future,4.2
118151,2.1,104180,My peers do not communicate about our vision of the future,4.4
118152,2.2,101334,My peers do not provide guidance about our vision of the future,4.8
118153,2.2,100673,My bosses do not listen to me on our vision of the future,3.2
118154,4,101083,My bosses  provide guidance about our strategy,4.6
118155,4.5,104954,My peers do not listen to me on our strategy,2.1
118156,2.2,100850,My bosses do not provide guidance about our vision of the future,4.3
118157,3.1,104806,My bosses  provide guidance about providing better service,2.8
118158,4.2,101716,My peers  provide guidance about providing better service,2.6
118159,4.1,103779,My peers  provide guidance about our strategy,3.4
118160,2.9,104576,My peers  provide guidance about our strategy,3.8
118161,2.9,104619,My bosses do not communicate about our strategy,3.8
118162,3.8,102829,My bosses  listen to me on our strategy,4.7
118163,2.6,101402,My bosses  provide guidance about providing better service,2.1
118164,2.7,102343,My bosses  communicate about our vision of the future,4.2
118165,4.4,101067,My bosses do not listen to me on generating revenue,2.6
118166,2.1,103843,My peers do not communicate about our vision of the future,2
118167,3.7,100499,My bosses  support providing better service,2.2
118168,4.2,102221,My peers do not support generating revenue,4.7
118169,2.3,103646,My peers do not support generating revenue,4.3
118170,4.7,101713,My peers  support generating revenue,3.3
118171,4.6,103064,My bosses  communicate about our vision of the future,2.7
118172,2.3,102889,My bosses do not communicate about generating revenue,4.2
118173,2.1,102736,My peers do not support our vision of the future,4.1
118174,3.6,101025,My peers  communicate about our vision of the future,4
118175,2.7,103694,My bosses  support our vision of the future,3.4
118176,4.1,101893,My bosses do not provide guidance about our strategy,4.9
118177,4.6,101377,My peers do not support our strategy,2.4
118178,3.1,103876,My peers do not communicate about our vision of the future,4.1
118179,4.8,103987,My peers  provide guidance about our strategy,4.7
118180,2.9,104611,My bosses do not communicate about providing better service,3.6
118181,2.4,101109,My peers  listen to me on providing better service,4
118182,2.1,103200,My peers  support our strategy,2.3
118183,3.6,100418,My peers do not support providing better service,4.4
118184,4,102882,My peers  support our strategy,3.1
118185,3.5,103398,My peers do not support generating revenue,2
118186,4.3,104793,My peers  support our strategy,4
118187,2.7,102558,My bosses do not provide guidance about providing better service,2.8
118188,3.5,103911,My bosses do not support providing better service,4.8
118189,4.2,103464,My peers  provide guidance about generating revenue,3.8
118190,4.2,104321,My peers  listen to me on providing better service,4.8
118191,2.6,104236,My peers do not communicate about generating revenue,4.2
118192,2,100625,My peers  communicate about generating revenue,4.1
118193,2,100483,My peers do not provide guidance about providing better service,3.2
118194,2.7,102638,My peers  communicate about providing better service,3.2
118195,3.1,103376,My bosses do not listen to me on providing better service,3.2
118196,4.4,104491,My peers  support our strategy,3
118197,3.7,101650,My peers  provide guidance about generating revenue,4.4
118198,3.6,100696,My peers  provide guidance about our vision of the future,3.6
118199,2.2,104183,My peers  listen to me on our vision of the future,4.6
118200,4.8,104530,My bosses do not support our strategy,2.1
118201,3.5,103695,My peers  support our strategy,4.4
118202,4.6,101393,My bosses do not provide guidance about generating revenue,2.6
118203,3,103801,My peers do not support our vision of the future,4.9
118204,4.9,100713,My peers  provide guidance about our vision of the future,4
118205,2.4,103955,My bosses do not communicate about our strategy,4.6
118206,2.6,102658,My bosses  communicate about our strategy,4.1
118207,4.4,104374,My peers do not support our strategy,2.9
118208,2,104407,My bosses  listen to me on generating revenue,4.2
118209,2,102849,My bosses  communicate about generating revenue,3.4
118210,2.2,104179,My bosses  support providing better service,3.9
118211,2.7,102396,My bosses do not support providing better service,2.2
118212,4.5,100190,My bosses  support our vision of the future,3.4
118213,2.5,103118,My bosses do not provide guidance about providing better service,3.8
118214,3.4,104480,My bosses  provide guidance about generating revenue,3.3
118215,4.7,102523,My peers do not provide guidance about our vision of the future,3.5
118216,2.3,100099,My peers do not communicate about providing better service,2.8
118217,3.6,103274,My peers do not support providing better service,4.5
118218,4,104546,My bosses  listen to me on providing better service,4.7
118219,2.7,101646,My peers  support our strategy,3.3
118220,4.7,104305,My peers do not communicate about our vision of the future,3.2
118221,2.2,101712,My bosses  provide guidance about our vision of the future,2.5
118222,2.7,104245,My bosses do not support providing better service,3.5
118223,3.6,104503,My peers do not communicate about providing better service,2.5
118224,2.6,100699,My bosses do not listen to me on providing better service,3.3
118225,4.9,100386,My peers do not listen to me on our vision of the future,3.8
118226,2,102721,My bosses do not support our strategy,3.3
118227,4.7,100095,My peers do not provide guidance about providing better service,2.2
118228,2.1,100694,My peers do not listen to me on our strategy,4.2
118229,3,101806,My peers do not support our vision of the future,4.8
118230,2.6,102723,My peers  communicate about providing better service,4.1
118231,2.6,103627,My peers do not support generating revenue,2.4
118232,4.9,102510,My bosses do not provide guidance about our vision of the future,3.4
118233,3.2,100321,My peers  listen to me on our vision of the future,3.6
118234,4.1,104926,My peers do not provide guidance about providing better service,3.2
118235,3.2,104405,My peers  communicate about our strategy,4
118236,2.2,102334,My peers  support generating revenue,3.4
118237,2.4,103947,My bosses do not listen to me on providing better service,2.9
118238,2.2,103569,My bosses  listen to me on providing better service,3.5
118239,4,103550,My bosses do not provide guidance about providing better service,4.3
118240,4.2,100305,My bosses  communicate about our vision of the future,3.9
118241,3.6,102223,My peers  support our vision of the future,4.2
118242,2.8,101502,My peers do not provide guidance about our vision of the future,4.9
118243,2.1,101068,My bosses do not provide guidance about generating revenue,4.6
118244,2.8,103190,My bosses do not support our vision of the future,4.9
118245,2,102289,My bosses  listen to me on our vision of the future,4.1
118246,4.9,100454,My peers do not support our strategy,4.4
118247,3.7,100875,My peers do not provide guidance about generating revenue,4.9
118248,4.4,103127,My bosses  communicate about generating revenue,4.3
118249,3.7,102690,My bosses do not provide guidance about our strategy,2.7
118250,4,102195,My peers do not provide guidance about our vision of the future,3.6
118251,3,100889,My peers  listen to me on generating revenue,2.1
118252,2.9,100404,My bosses  listen to me on providing better service,3.9
118253,2.1,100626,My bosses do not provide guidance about providing better service,3.9
118254,2.8,101621,My bosses  provide guidance about our strategy,2.4
118255,3.9,103011,My bosses  communicate about providing better service,3.3
118256,4,103874,My peers do not listen to me on our strategy,4.7
118257,2.1,100331,My bosses do not provide guidance about providing better service,2.4
118258,3.8,103631,My peers  communicate about generating revenue,3.8
118259,4,101056,My bosses  communicate about our vision of the future,4.4
118260,2.6,104947,My peers  communicate about our strategy,2.2
118261,4.4,103524,My peers  provide guidance about providing better service,4.2
118262,4.3,102136,My bosses  communicate about providing better service,4.1
118263,4.8,100702,My bosses do not support generating revenue,3.9
118264,2.5,103177,My peers do not support our strategy,4.2
118265,2.5,104258,My bosses do not support our vision of the future,3.4
118266,2.4,104234,My peers do not listen to me on our vision of the future,2.7
118267,2.4,101988,My bosses do not provide guidance about our strategy,2.9
118268,4.7,100142,My peers  communicate about our vision of the future,3.5
118269,2.4,103003,My bosses do not provide guidance about our vision of the future,2.5
118270,2.9,100166,My peers  listen to me on our vision of the future,3.9
118271,4.8,100246,My bosses do not support generating revenue,2.8
118272,4.8,104282,My peers do not provide guidance about generating revenue,2.8
118273,4.4,103371,My peers  provide guidance about our vision of the future,4.2
118274,2.5,100083,My peers  provide guidance about providing better service,4.7
118275,4.7,103560,My bosses  communicate about our vision of the future,3
118276,3,101871,My bosses do not communicate about our strategy,4.2
118277,4.2,104254,My bosses do not support providing better service,2.8
118278,3.8,100858,My peers  communicate about providing better service,4.2
118279,3.5,102192,My peers  communicate about our vision of the future,3.6
118280,3.5,104685,My peers do not communicate about providing better service,4.4
118281,3.3,100662,My bosses do not listen to me on providing better service,4.3
118282,4.8,103583,My peers  listen to me on our strategy,3.1
118283,4.2,103594,My bosses do not support providing better service,2
118284,4.8,103353,My peers  listen to me on providing better service,2.4
118285,4.5,103054,My peers do not support our strategy,4.4
118286,4,101476,My peers do not communicate about our vision of the future,4.8
118287,3.8,101547,My peers  support our vision of the future,3.5
118288,3.9,100613,My bosses do not provide guidance about our vision of the future,3.7
118289,3.3,103368,My peers  support our strategy,4.8
118290,2.3,102076,My peers  communicate about generating revenue,3.6
118291,3.6,104405,My peers do not support our vision of the future,4.5
118292,2.7,102678,My bosses  listen to me on our strategy,2.3
118293,3.2,103887,My bosses  listen to me on our strategy,3.2
118294,3.5,100604,My peers  support our strategy,2.2
118295,4.1,101831,My peers  listen to me on providing better service,2.4
118296,3.8,100683,My peers do not communicate about providing better service,3.4
118297,4.3,102453,My peers  communicate about generating revenue,2.5
118298,3.2,101681,My bosses  support our strategy,2.9
118299,2.2,102934,My peers do not listen to me on generating revenue,4
118300,3.7,101005,My bosses  communicate about our vision of the future,4
118301,3.7,100216,My peers  listen to me on providing better service,4.1
118302,3.4,102222,My bosses do not listen to me on generating revenue,4.7
118303,2.4,101279,My peers  provide guidance about providing better service,4.6
118304,3,104892,My bosses  listen to me on generating revenue,3.7
118305,3.2,103220,My peers  communicate about our vision of the future,2.9
118306,2,101536,My peers do not support generating revenue,4.6
118307,3.5,101411,My peers do not communicate about our vision of the future,4.8
118308,4.2,100173,My bosses do not listen to me on our strategy,4.1
118309,3.3,100553,My peers  listen to me on generating revenue,2
118310,2.4,100691,My bosses do not listen to me on our vision of the future,2.4
118311,4.8,101485,My bosses do not support providing better service,2.4
118312,3.6,100573,My peers do not listen to me on our vision of the future,3.3
118313,2.3,102978,My bosses do not support our strategy,2.8
118314,4,100496,My bosses do not provide guidance about our strategy,2.1
118315,3.1,104584,My bosses do not communicate about our strategy,4.2
118316,3.3,104410,My bosses  communicate about our strategy,2.1
118317,4.8,101226,My bosses do not provide guidance about our strategy,2
118318,4.9,103129,My peers do not communicate about generating revenue,3.6
118319,2.5,102489,My bosses  communicate about our vision of the future,2.6
118320,2.8,103936,My peers do not communicate about generating revenue,4.8
118321,4.5,102994,My bosses  provide guidance about providing better service,2.5
118322,2.4,102444,My peers  provide guidance about our vision of the future,4
118323,2,102730,My peers do not listen to me on our strategy,4.2
118324,3.7,103111,My bosses do not communicate about our strategy,4.1
118325,2.3,104117,My bosses do not communicate about our strategy,3.8
118326,2.9,102623,My peers  provide guidance about our vision of the future,3.8
118327,3.2,104335,My bosses do not support our vision of the future,2.3
118328,4,103238,My peers  communicate about generating revenue,2.9
118329,3.4,103185,My peers  provide guidance about our vision of the future,4.3
118330,4,101691,My peers do not listen to me on our strategy,4.6
118331,4.7,101833,My peers do not support our vision of the future,4.3
118332,3.6,100249,My bosses do not communicate about providing better service,2.5
118333,2,101142,My peers  provide guidance about generating revenue,2.1
118334,2.6,104886,My peers do not communicate about our strategy,2.8
118335,3.1,102872,My peers do not support our strategy,2.5
118336,4.7,104069,My bosses  listen to me on providing better service,3.6
118337,3,104037,My peers  listen to me on our vision of the future,3.5
118338,2.4,104228,My bosses do not provide guidance about our vision of the future,4.3
118339,3.2,100946,My peers do not communicate about providing better service,3.4
118340,3.1,103663,My bosses  communicate about our strategy,4.8
118341,3.8,101882,My peers  communicate about providing better service,2.7
118342,3.2,100689,My bosses do not support providing better service,4.4
118343,3.2,103994,My bosses do not support generating revenue,4.1
118344,4,101254,My peers do not support generating revenue,3.6
118345,3.9,104691,My peers  provide guidance about our strategy,4.4
118346,3.5,103488,My peers  support providing better service,2.6
118347,4.2,101564,My bosses  communicate about our vision of the future,4
118348,4.1,103298,My bosses  listen to me on our strategy,3.1
118349,4.7,100812,My peers do not listen to me on providing better service,4.2
118350,2.2,100725,My peers do not provide guidance about our vision of the future,4.1
118351,2.8,104572,My bosses do not provide guidance about our vision of the future,2.3
118352,4.1,100260,My bosses  support providing better service,2.3
118353,4.1,103479,My bosses do not support generating revenue,3.9
118354,4.7,101355,My peers  listen to me on our strategy,4.8
118355,3.1,102439,My bosses  listen to me on our strategy,3.7
118356,4.9,101202,My bosses  communicate about generating revenue,2.3
118357,3.4,104748,My peers do not provide guidance about generating revenue,3.2
118358,3.2,104077,My peers  listen to me on generating revenue,4.5
118359,3.4,100035,My bosses  support generating revenue,2.5
118360,3.1,102245,My bosses  communicate about our vision of the future,3.8
118361,4.2,102530,My bosses do not communicate about generating revenue,3.3
118362,3.2,100559,My peers  provide guidance about providing better service,2.2
118363,3.6,103812,My peers  listen to me on providing better service,2.7
118364,4.1,103792,My peers  provide guidance about generating revenue,2.6
118365,4.6,104182,My peers do not support our vision of the future,4.1
118366,2.3,103974,My bosses  provide guidance about generating revenue,3.7
118367,4,101671,My peers  support our vision of the future,4
118368,4.5,104448,My peers do not provide guidance about our vision of the future,2.4
118369,4.3,104304,My peers  communicate about generating revenue,4.9
118370,2.1,101368,My bosses  support our strategy,2.5
118371,3.7,100563,My bosses do not support our vision of the future,3.7
118372,2.2,104377,My peers  provide guidance about our vision of the future,3.6
118373,3.3,103811,My bosses  provide guidance about our vision of the future,4.7
118374,3.7,104153,My bosses do not communicate about providing better service,2.4
118375,3.4,102669,My bosses do not support generating revenue,3.9
118376,3.9,103740,My bosses do not listen to me on our vision of the future,2.6
118377,3.8,101904,My peers do not provide guidance about providing better service,2.9
118378,2.4,100266,My bosses do not support providing better service,3.8
118379,3.7,101552,My peers  listen to me on our strategy,3.3
118380,3.1,101900,My bosses do not support our vision of the future,3.7
118381,4.6,101423,My peers  listen to me on our vision of the future,2.4
118382,2.1,104934,My peers  support generating revenue,3.8
118383,3.2,103840,My peers do not provide guidance about our strategy,4.4
118384,4.8,103269,My peers do not support generating revenue,3.5
118385,4.1,100296,My bosses do not provide guidance about providing better service,4.3
118386,2.4,102239,My bosses do not support our vision of the future,4.6
118387,4.1,102064,My peers do not listen to me on our strategy,2.2
118388,3.3,100527,My bosses  listen to me on our vision of the future,4
118389,2.1,102371,My bosses do not provide guidance about providing better service,2.9
118390,2.8,100473,My peers  support generating revenue,2.1
118391,4.3,103751,My peers  provide guidance about our vision of the future,2.6
118392,3,103145,My bosses do not communicate about our vision of the future,2
118393,3.4,104850,My peers do not provide guidance about providing better service,4.4
118394,2.1,103047,My peers do not listen to me on our vision of the future,3
118395,3.5,103848,My peers do not listen to me on our vision of the future,4.2
118396,3.1,100849,My peers do not communicate about providing better service,4
118397,2.8,101318,My bosses  provide guidance about our strategy,3.6
118398,3,102620,My peers  support providing better service,3.7
118399,3.7,101493,My peers  provide guidance about our strategy,3.3
118400,2.1,100404,My bosses  provide guidance about generating revenue,3.2
118401,4,102675,My bosses do not support our vision of the future,3.7
118402,4.6,104950,My bosses  provide guidance about generating revenue,2.6
118403,4.6,102717,My bosses  support providing better service,4.8
118404,4,104595,My peers  communicate about our vision of the future,4.1
118405,2.7,102908,My peers  listen to me on our strategy,3.1
118406,3.3,103218,My bosses  support providing better service,2.4
118407,4.2,100284,My peers do not listen to me on our vision of the future,2.5
118408,4.7,101138,My bosses  provide guidance about our vision of the future,4
118409,3.9,101363,My peers  listen to me on generating revenue,3.9
118410,4.9,104493,My peers  support our vision of the future,3.7
118411,2,104797,My bosses do not listen to me on providing better service,4.7
118412,3.7,102241,My peers  provide guidance about our vision of the future,3.3
118413,3.4,104342,My peers  support generating revenue,2
118414,4.3,103827,My peers  communicate about providing better service,4.7
118415,2.3,100919,My peers  provide guidance about providing better service,4
118416,4.3,102121,My bosses do not support our strategy,2.1
118417,3.6,103621,My peers do not support providing better service,3.2
118418,3.4,103486,My peers do not listen to me on providing better service,3.2
118419,2.3,104680,My bosses do not support our strategy,2.6
118420,4.7,101461,My bosses do not communicate about providing better service,2.4
118421,2.8,100540,My peers  listen to me on our vision of the future,3.9
118422,2.3,103600,My bosses do not communicate about our strategy,2.3
118423,2.2,103649,My peers do not listen to me on our vision of the future,4.5
118424,2.7,101761,My bosses  support our vision of the future,2.4
118425,2.5,102817,My bosses  support our vision of the future,3.4
118426,4.2,103931,My peers do not support generating revenue,2.8
118427,4.7,104048,My peers  communicate about generating revenue,3.1
118428,3.3,104539,My peers  provide guidance about generating revenue,3.9
118429,4.1,104001,My bosses  listen to me on our strategy,4.2
118430,3.9,103025,My peers do not provide guidance about our vision of the future,4.3
118431,2.3,103546,My peers do not communicate about generating revenue,3
118432,3.3,100064,My bosses  provide guidance about generating revenue,3.1
118433,2.5,100355,My peers  support generating revenue,2.4
118434,4.7,102542,My bosses do not support providing better service,4.3
118435,3.3,102348,My peers  provide guidance about our strategy,4.5
118436,2.2,104791,My bosses  provide guidance about generating revenue,4.4
118437,4.6,103957,My peers  provide guidance about generating revenue,2.9
118438,2.8,100987,My bosses  provide guidance about providing better service,2.1
118439,3.2,101454,My bosses  provide guidance about providing better service,4
118440,2.8,103273,My peers  communicate about our vision of the future,3
118441,2.9,102418,My bosses  support our strategy,3.8
118442,4,100745,My bosses  provide guidance about our strategy,3.3
118443,3.9,103562,My bosses  communicate about our strategy,3
118444,4.4,104246,My bosses  support our vision of the future,2.3
118445,2.5,102743,My peers  provide guidance about generating revenue,2.5
118446,2.5,104117,My bosses  communicate about our vision of the future,4.5
118447,2.4,104132,My bosses do not communicate about generating revenue,4.9
118448,2.3,101834,My peers do not provide guidance about our vision of the future,4.6
118449,4,103397,My bosses  provide guidance about providing better service,3.6
118450,2.3,104130,My peers  support generating revenue,4.2
118451,4.1,102100,My peers do not communicate about our strategy,4.6
118452,4.7,100338,My peers do not communicate about our strategy,4.6
118453,4.4,103628,My peers  listen to me on providing better service,2
118454,4,100622,My peers do not listen to me on providing better service,3.6
118455,3.1,103764,My bosses  support generating revenue,3.5
118456,2,100371,My peers  listen to me on our vision of the future,2.2
118457,4.4,104016,My peers  provide guidance about generating revenue,3.8
118458,4.2,101424,My peers  communicate about our strategy,2.8
118459,4.4,101227,My bosses  listen to me on our strategy,4.2
118460,4.5,103091,My bosses do not listen to me on our strategy,3.2
118461,4.5,103212,My bosses  listen to me on our strategy,3.2
118462,2.9,101764,My peers  listen to me on our vision of the future,3.9
118463,2.6,101598,My peers do not communicate about providing better service,3.5
118464,3.4,101526,My bosses do not support providing better service,4.1
118465,3.9,101978,My bosses do not support our strategy,3
118466,3.3,102957,My peers do not communicate about providing better service,3.2
118467,4,103271,My bosses do not support our strategy,2.6
118468,4,103607,My peers do not support generating revenue,2.4
118469,4.5,103767,My bosses do not support our vision of the future,3.9
118470,3.4,103749,My peers do not support generating revenue,2.8
118471,4.9,103265,My peers do not communicate about our strategy,4.1
118472,2,101640,My bosses  support our vision of the future,2.9
118473,2.9,103219,My bosses  support our vision of the future,3.5
118474,3.5,101764,My bosses do not listen to me on generating revenue,4.2
118475,4.6,102536,My bosses do not listen to me on providing better service,3
118476,2.5,100834,My peers do not communicate about providing better service,2.6
118477,3.2,103188,My bosses  provide guidance about generating revenue,4.2
118478,3,102761,My peers do not provide guidance about providing better service,3.8
118479,3.7,103745,My peers  provide guidance about generating revenue,3.6
118480,4.5,102793,My peers do not support our vision of the future,2.9
118481,3.2,103352,My peers do not support generating revenue,3.5
118482,2.4,101133,My bosses  listen to me on providing better service,2.9
118483,3.9,100359,My bosses  provide guidance about generating revenue,4.7
118484,4.9,101548,My peers  listen to me on our strategy,2.8
118485,3,102835,My bosses  listen to me on generating revenue,3.7
118486,4.4,100231,My peers  support generating revenue,3.9
118487,2.2,103027,My bosses  listen to me on our strategy,3
118488,2.7,103332,My bosses  support generating revenue,4
118489,2.7,101495,My bosses  communicate about providing better service,4
118490,4.4,103979,My peers do not support our strategy,4.4
118491,3,102006,My bosses  communicate about generating revenue,3.3
118492,4.5,100977,My peers do not support our strategy,2.9
118493,3.5,102336,My bosses  provide guidance about our strategy,3.1
118494,3.4,103232,My bosses  support providing better service,3.4
118495,2.6,101660,My peers  communicate about our vision of the future,2.2
118496,4.3,103896,My bosses  communicate about our vision of the future,2.2
118497,3.9,101305,My bosses do not provide guidance about our strategy,4
118498,3.4,104259,My peers  communicate about providing better service,3.4
118499,2.1,104169,My peers do not provide guidance about providing better service,4.7
118500,2.8,103847,My bosses  provide guidance about providing better service,2.6
118501,3,104672,My peers  provide guidance about providing better service,2.3
118502,3.2,103581,My peers  support our strategy,4.6
118503,3.7,100932,My bosses do not communicate about our vision of the future,3.5
118504,4.7,100529,My bosses  provide guidance about generating revenue,4.3
118505,3.6,101959,My peers  provide guidance about providing better service,4.5
118506,4.3,101154,My peers  provide guidance about our strategy,2.8
118507,3.6,103230,My bosses do not listen to me on our strategy,4.8
118508,4.8,102163,My bosses do not listen to me on our strategy,4.8
118509,2,101316,My bosses  listen to me on our vision of the future,2.2
118510,2.3,104850,My bosses  provide guidance about providing better service,4.1
118511,3.4,104335,My peers  support providing better service,4
118512,2.2,104942,My peers  support our vision of the future,3.8
118513,3.3,102505,My peers  listen to me on our vision of the future,4
118514,4.1,102206,My peers  provide guidance about providing better service,2.4
118515,3.9,104974,My bosses  provide guidance about our strategy,3.1
118516,3.3,101462,My peers  listen to me on our vision of the future,3.6
118517,4,104381,My peers do not communicate about our strategy,2.1
118518,3.3,103442,My bosses  support our strategy,2.6
118519,4.2,103104,My bosses do not listen to me on our strategy,3.1
118520,2.8,100674,My peers  support generating revenue,4.8
118521,4.1,102830,My bosses  provide guidance about our vision of the future,2.6
118522,3.8,104896,My peers do not communicate about providing better service,3.3
118523,3.8,103460,My bosses  provide guidance about generating revenue,2.3
118524,3.1,103839,My peers do not communicate about our strategy,3.9
118525,4.5,103213,My bosses do not provide guidance about providing better service,2.1
118526,3.5,103330,My peers do not provide guidance about our strategy,3.6
118527,2.5,104141,My bosses  support providing better service,4.9
118528,3.9,100867,My peers  provide guidance about providing better service,4.8
118529,2.7,101546,My bosses  provide guidance about generating revenue,2
118530,4,103463,My bosses  support providing better service,4.1
118531,4.4,101633,My peers  support generating revenue,4.8
118532,4.6,104479,My peers  communicate about generating revenue,4.7
118533,3.9,100348,My bosses  support our strategy,3.9
118534,4.8,100825,My bosses do not listen to me on providing better service,3.7
118535,4.5,104440,My peers  support our strategy,3.5
118536,4,103718,My bosses do not support generating revenue,2
118537,4.4,100935,My bosses  provide guidance about our vision of the future,4.9
118538,3.3,101068,My bosses do not communicate about our strategy,3.7
118539,4.2,101684,My bosses do not support our vision of the future,2.6
118540,3.8,102165,My bosses do not listen to me on providing better service,4.9
118541,3.4,101014,My peers do not support providing better service,2.4
118542,4.7,100517,My peers do not listen to me on generating revenue,3.2
118543,4.2,101977,My peers do not support our vision of the future,3.6
118544,3.1,102961,My peers  support our strategy,3.2
118545,3.1,104155,My peers do not support our strategy,3
118546,2.9,103529,My peers  listen to me on our vision of the future,4.1
118547,4.6,102206,My peers do not communicate about our strategy,4.7
118548,4.1,104936,My bosses  listen to me on our strategy,2.5
118549,4.8,103449,My bosses do not listen to me on our strategy,3
118550,4.1,103983,My peers do not communicate about providing better service,2.5
118551,2.6,100999,My peers  support providing better service,2.7
118552,2.5,102999,My bosses do not communicate about our strategy,3.3
118553,2.4,100892,My peers do not provide guidance about our vision of the future,2.4
118554,2.8,103963,My peers do not provide guidance about our strategy,4.6
118555,3.7,100639,My bosses  provide guidance about generating revenue,2.2
118556,3.2,101960,My peers do not provide guidance about our strategy,4.2
118557,4.2,103326,My peers do not listen to me on our strategy,2.2
118558,2.7,100182,My peers  support providing better service,3.2
118559,3.2,102730,My bosses do not support our vision of the future,2.4
118560,2.2,100092,My bosses do not provide guidance about providing better service,3.7
118561,3.5,102534,My peers do not listen to me on providing better service,3.9
118562,2,104710,My bosses do not communicate about generating revenue,4.5
118563,3.6,101148,My bosses  communicate about our strategy,2.5
118564,4.3,102397,My peers  communicate about our strategy,3.9
118565,2,103410,My bosses do not provide guidance about providing better service,2
118566,2.3,102125,My peers do not communicate about providing better service,4.7
118567,4.6,104767,My bosses  listen to me on our strategy,4.2
118568,3.1,103048,My bosses do not support our strategy,3.4
118569,2.7,104796,My peers do not listen to me on generating revenue,3
118570,3.1,100612,My peers  support our vision of the future,2.6
118571,3.9,100469,My bosses do not support our vision of the future,3.4
118572,3.4,100760,My peers  support providing better service,3.5
118573,3.3,100304,My peers  support generating revenue,2.5
118574,2.6,102007,My bosses  support providing better service,3.1
118575,4.3,104752,My peers do not support our strategy,2.2
118576,3.4,101996,My peers do not provide guidance about providing better service,4.9
118577,3.5,101115,My peers  listen to me on our strategy,3.4
118578,3.6,101985,My peers  communicate about providing better service,3.2
118579,2,102254,My bosses  communicate about our vision of the future,2.9
118580,2,103393,My peers  support generating revenue,4.8
118581,3.4,100633,My peers  communicate about providing better service,2.7
118582,2.2,103064,My bosses  support our vision of the future,2.1
118583,2.3,104005,My bosses do not support providing better service,4.9
118584,3.2,100561,My bosses do not provide guidance about our strategy,3.1
118585,2.3,100642,My bosses  listen to me on generating revenue,4.2
118586,2.8,103481,My bosses  communicate about our strategy,4.1
118587,3,104635,My peers  provide guidance about providing better service,2.4
118588,4.4,104359,My bosses  communicate about providing better service,2
118589,4,100717,My bosses  listen to me on our vision of the future,2
118590,2.5,104005,My peers  listen to me on generating revenue,4
118591,2.5,100014,My peers do not provide guidance about generating revenue,2.3
118592,3.6,103896,My peers  support our strategy,4.1
118593,4,100704,My bosses  provide guidance about providing better service,3.2
118594,3,100068,My bosses  listen to me on generating revenue,2.4
118595,3.3,102427,My peers do not listen to me on generating revenue,2.4
118596,3.7,103793,My bosses do not communicate about our strategy,3.5
118597,3.2,103605,My peers  support providing better service,4.6
